Sort Code,Master sort,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Score,Frequency,Converted Ct,Transformed Ct,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
10,,"10kL Flow, Tank 24",1,24.10.1a,,012919LCB1G,D01,18.19,,,,1,,012919LCB3F,D01,37.22,1,,37.22,12.781,,,1a,,,,,,eONKI4,080818JMR3F,B11,N/A,0,,,,,,,,,10
10,,"10kL Flow, Tank 24",1,24.10.1a,,,,,,,,,,012919LCB3F,E01,37.11,1,,37.11,12.891,,,1a,,,,,,eONKI4,080818JMR3F,C11,N/A,0,,,,,,,,,10
10,,"10kL Flow, Tank 24",1,24.10.1a,,,,,,,,,,012919LCB3F,F01,36.53,1,,36.53,13.471,,,1a,,,,,,eONKI4,080818JMR3F,D11,N/A,0,,,,,,,,,10
10,,"10kL Flow, Tank 24",1,24.10.1a,,,,,,,,,,012919LCB3F,G01,38.04,1,,38.04,11.961,,,1a,,,,,,eONKI4,080818JMR3F,E11,N/A,0,,,,,,,,,10
10,,"10kL Flow, Tank 24",1,24.10.1a,,,,,,,,,,012919LCB3F,H01,36.55,1,,36.55,13.451,,,1a,,,,,,eONKI4,080818JMR3F,F11,N/A,0,,,,,,,,,10
11,11,"10kL Flow, Tank 24",2,24.10.2a,14a,012919LCB1G,E04,16.97,,,,1, 4/4,020719LCB1G,A04,33.93,1,8/8,33.93,16.071,16.724,0.358,14a,,,,,,eONKI4,080818JMR3F,G11,N/A,0,,,,,,,,,10
11,,"10kL Flow, Tank 24",2,24.10.2a,,012919LCB1G,F04,17.19,,,,1,,020719LCB1G,B04,33.44,1,,33.44,16.561,,,14a,,,,,,eONKI4,080818JMR3F,H11,N/A,0,,,,,,,,,11
11,,"10kL Flow, Tank 24",2,24.10.2a,,012919LCB1G,G04,17.26,,,,1,,020719LCB1G,C04,33.36,1,,33.36,16.641,,,14a,,,,,,eONKI4,080818JMR4G,A11,N/A,0,0/8,,,,,,,,11
11,,"10kL Flow, Tank 24",2,24.10.2a,,012919LCB1G,H04,17.73,,,,1,,020719LCB1G,D04,33.18,1,,33.18,16.821,,,14a,,,,,,eONKI4,080818JMR4G,B11,N/A,0,,,,,,,,,11
11,,"10kL Flow, Tank 24",2,24.10.2a,,,,,,,,,,020719LCB1G,E04,33.06,1,,33.06,16.941,,,14a,,,,,,eONKI4,080818JMR4G,C11,N/A,0,,,,,,,,,11
11,,"10kL Flow, Tank 24",2,24.10.2a,,,,,,,,,,020719LCB1G,F04,33.17,1,,33.17,16.831,,,14a,,,,,,eONKI4,080818JMR4G,D11,N/A,0,,,,,,,,,11
11,,"10kL Flow, Tank 24",2,24.10.2a,,,,,,,,,,020719LCB1G,G04,32.68,1,,32.68,17.321,,,14a,,,,,,eONKI4,080818JMR4G,E11,N/A,0,,,,,,,,,11
11,,"10kL Flow, Tank 24",2,24.10.2a,,,,,,,,,,020719LCB1G,H04,33.4,1,,33.4,16.601,,,14a,,,,,,eONKI4,080818JMR4G,F11,N/A,0,,,,,,,,,11
12,12,"10kL Flow, Tank 24",3,24.10.3a,21a,012919LCB1F,A01,19.11,,,,1, 4/4,013019LCB1F,A01,33.78,1,8/8,33.78,16.221,15.572,0.794,21a,,,,,,eONKI4,080818JMR4G,G11,N/A,0,,,,,,,,,11
12,,"10kL Flow, Tank 24",3,24.10.3a,,012919LCB1F,B01,19.7,,,,1,,013019LCB1F,B01,35.12,1,,35.12,14.881,,,21a,,,,,,eONKI4,080818JMR4G,H11,N/A,0,,,,,,,,,12
12,,"10kL Flow, Tank 24",3,24.10.3a,,012919LCB1F,C01,19.44,,,,1,,013019LCB1F,C01,34.6,1,,34.6,15.401,,,21a,,,,,,eONKI4,080818JMR4H,A11,N/A,0,0/8,,,,,,,,12
12,,"10kL Flow, Tank 24",3,24.10.3a,,012919LCB1F,D01,19.04,,,,1,,013019LCB1F,D01,35.17,1,,35.17,14.831,,,21a,,,,,,eONKI4,080818JMR4H,B11,N/A,0,,,,,,,,,12
12,,"10kL Flow, Tank 24",3,24.10.3a,,,,,,,,,,013019LCB1F,E01,33.07,1,,33.07,16.931,,,21a,,,,,,eONKI4,080818JMR4H,C11,N/A,0,,,,,,,,,12
12,,"10kL Flow, Tank 24",3,24.10.3a,,,,,,,,,,013019LCB1F,F01,34.08,1,,34.08,15.921,,,21a,,,,,,eONKI4,080818JMR4H,D11,N/A,0,,,,,,,,,12
12,,"10kL Flow, Tank 24",3,24.10.3a,,,,,,,,,,013019LCB1F,G01,35.39,1,,35.39,14.611,,,21a,,,,,,eONKI4,080818JMR4H,E11,N/A,0,,,,,,,,,12
12,,"10kL Flow, Tank 24",3,24.10.3a,,,,,,,,,,013019LCB1F,H01,34.22,1,,34.22,15.781,,,21a,,,,,,eONKI4,080818JMR4H,F11,N/A,0,,,,,,,,,12
13,13,"10kL Flow, Tank 19",1,19.10.1,5a,012919LCB1G,A05,16.29,,,,1, 4/4,012919LCB3F,A05,31.34,1,8/8,31.34,18.661,18.614,0.331,5a,,,,,,eONKI4,080818JMR4H,G11,N/A,0,,,,,,,,,12
13,,"10kL Flow, Tank 19",1,19.10.1,,012919LCB1G,B05,15.99,,,,1,,012919LCB3F,B05,31.23,1,,31.23,18.771,,,5a,,,,,,eONKI4,080818JMR4H,H11,N/A,0,,,,,,,,,13
13,,"10kL Flow, Tank 19",1,19.10.1,,012919LCB1G,C05,15.96,,,,1,,012919LCB3F,C05,31.44,1,,31.44,18.561,,,5a,,,,,,eONKI4,080918JMR2H,A11,N/A,0,0/8,,,,,,,,13
13,,"10kL Flow, Tank 19",1,19.10.1,,012919LCB1G,D05,16.22,,,,1,,012919LCB3F,D05,31.38,1,,31.38,18.621,,,5a,,,,,,eONKI4,080918JMR2H,B11,N/A,0,,,,,,,,,13
13,,"10kL Flow, Tank 19",1,19.10.1,,,,,,,,,,012919LCB3F,E05,31.06,1,,31.06,18.941,,,5a,,,,,,eONKI4,080918JMR2H,C11,N/A,0,,,,,,,,,13
13,,"10kL Flow, Tank 19",1,19.10.1,,,,,,,,,,012919LCB3F,F05,31.11,1,,31.11,18.891,,,5a,,,,,,eONKI4,080918JMR2H,D11,N/A,0,,,,,,,,,13
13,,"10kL Flow, Tank 19",1,19.10.1,,,,,,,,,,012919LCB3F,G05,31.41,1,,31.41,18.591,,,5a,,,,,,eONKI4,080918JMR2H,E11,N/A,0,,,,,,,,,13
13,,"10kL Flow, Tank 19",1,19.10.1,,,,,,,,,,012919LCB3F,H05,32.13,1,,32.13,17.871,,,5a,,,,,,eONKI4,080918JMR2H,F11,N/A,0,,,,,,,,,13
14,14,"10kL Flow, Tank 19",2,19.10.2,24a,012919LCB1F,A04,18.38,,,,1, 4/4,013019LCB1F,A04,34.4,1,8/8,34.4,15.601,15.319,0.415,24a,,,,,,eONKI4,080918JMR2H,G11,N/A,0,,,,,,,,,13
14,,"10kL Flow, Tank 19",2,19.10.2,,012919LCB1F,B04,18.5,,,,1,,013019LCB1F,B04,34.26,1,,34.26,15.741,,,24a,,,,,,eONKI4,080918JMR2H,H11,N/A,0,,,,,,,,,14
14,,"10kL Flow, Tank 19",2,19.10.2,,012919LCB1F,C04,18.59,,,,1,,013019LCB1F,C04,34.73,1,,34.73,15.271,,,24a,,,,,,ePLANT5,012919LCB1G,A11,37.59,0,0/8,,,,,,,,14
14,,"10kL Flow, Tank 19",2,19.10.2,,012919LCB1F,D04,19.32,,,,1,,013019LCB1F,D04,35.18,1,,35.18,14.821,,,24a,,,,,,ePLANT5,012919LCB1G,B11,37.36,0,,,,,,,,,14
